# Frequency in GHz, Intensity in Jy/sr
8.357700725203175, 0.0009969805387623626
8.468648883353303, 0.0011937518225327863
8.573521390822023, 0.001441384662716714
8.69720536287404, 0.0017813350847471058
8.830967009837394, 0.002229101097000851
8.966785889837318, 0.002789419993575114
9.11242117768354, 0.0034976422623692947
9.244728839164127, 0.004297971388854657
9.406837965208648, 0.005454927795136098
9.551514481910008, 0.006812332162750753
9.731376232472517, 0.008733895171245
9.889427996334422, 0.010995731405649937
10.092757256404406, 0.014355961791682538
10.309006593374267, 0.01889512648144532
10.56119016070646, 0.025738427006643784
10.764626823696883, 0.03326622338941204
11.032641178292737, 0.04476841204809008
11.28338482598503, 0.058331416995971046
11.515385244486028, 0.07448348980946035
11.782087473905683, 0.0990294117721714
12.02944196563925, 0.12696276115505167
12.276797221784484, 0.15759816777710178
12.492092002079467, 0.19365971852795028
12.738151313056484, 0.238936279926426
12.983545804676615, 0.2959917241337259
13.18326170530718, 0.3507322306181877
13.471480177898508, 0.4327314687391344
13.707742502019771, 0.516920702813095
13.954066927481103, 0.617489210515139
14.1927791560151, 0.7272663246754576
14.404992161418948, 0.8496660096570225
14.65141900639793, 0.9997091856991212
14.895738262602322, 1.1810105834628617
15.14413891380736, 1.3797759029491699
15.41628574003817, 1.6217926441840687
15.706637270941814, 1.9256119382825219
16.036438702557405, 2.2817332896568177
16.40095585416294, 2.7700588965051343
16.731134424713606, 3.2823516892521765
17.067957065819623, 3.9051335438235517
17.404190593875942, 4.553164298314942
17.73200256499712, 5.266006795030033
18.119713466422517, 6.127474496984654
18.492354639112868, 7.101121447987902
18.904705702064742, 8.296247633209573
19.359066419641827, 9.790911981407715
19.83274722392399, 11.719414862003052
20.33528591420858, 13.691804671083744
20.815209873321376, 15.93165128820965
21.342652319513338, 18.42590744437
21.892749281521027, 21.224736601571717
22.457026694191146, 24.399357973397372
23.074973750118286, 27.99220780693543
23.730033907298186, 32.637327196949215
24.52824582659538, 37.8998375074232
25.46107334786738, 44.81837666402699
26.384584403139506, 52.15022894848194
27.44619013594515, 60.43682588736711
28.57475990194189, 69.19633100645582
29.348660976821, 75.32360927976919
29.99048029868956, 80.51618048178929
30.64634343479548, 85.5466886657386
31.316555127949513, 90.52500827464945
31.960726979400885, 95.40678768598309
32.562856552689325, 99.74258864666972
33.19040179551053, 104.69758556063417
33.93064747546157, 110.34365538540078
34.805315475506696, 117.23773131078208
35.79352399892869, 124.56253687529762
36.809786985984005, 132.61260861408755
37.93529270608102, 140.61366318359902
39.17823130569789, 148.79656035502458
40.35900877687321, 159.69804662224522
41.54013450086244, 169.33327511991655
42.84661144470468, 179.91291788499228
44.06313214135528, 191.15355797004142
45.25656391699511, 202.4820005000468
46.511887557674825, 216.6591989148876
47.680526996446034, 229.96328538714565
48.8889025503434, 243.5917309687225
50.12787814563502, 260.9107173974436
51.24586704139612, 276.6525153266459
52.388794714380595, 292.75208228109136
54.26610851253053, 323.54005646060193
56.11541617472523, 353.6150826912927
57.978524029011524, 387.65867432034383
60.03068224338432, 426.2694747536518
62.129124813569945, 466.8359494027141
64.21913693654325, 511.26298400954454
66.4357783358324, 564.4607484894502
68.6706714599847, 616.9308259281694
70.80033186910771, 667.501923534733
72.93412375305205, 723.6788940718204
75.54770045928562, 790.949271532663
77.92367657548363, 858.3821598021366
80.61342204431196, 929.6840941725576
83.53762749213769, 1013.0295700662429
86.93591513418795, 1110.5569852687133
89.9367540322083, 1199.1667112388234
93.23872497498641, 1300.0885972007204
96.7029501399203, 1406.6595522949196
100.55154047140465, 1509.7175783367138
104.73085922019779, 1623.6026759204808
107.56749355805721, 1704.2597588962296
110.80955391003879, 1781.7105491293385
114.19772579998113, 1877.7935878550174
117.34060082316361, 1947.3314372714774
120.82601420768721, 2011.3017391156047
124.7320680202745, 2068.9972524335826
128.21926814851182, 2136.9643053037917
132.08392951534233, 2171.7805783920235
136.18052430667998, 2225.071446292766
143.29263283874, 2256.7596229661185
149.18560505489882, 2256.7596229661185
154.59786676769514, 2234.0795327694186
160.6829693112372, 2202.7098174411785
166.30069944642213, 2136.9643053037917
171.4953593046667, 2058.5744459056796
176.25312342904377, 1973.0702582787987
181.56610484085937, 1874.0040153677942
187.35696158100603, 1767.3713592590939
192.67749387019333, 1663.442426117451
197.9811001748836, 1559.3121606133232
202.31177996933798, 1473.559566346305
206.7372890262835, 1377.1364905996597
210.6330966301419, 1297.4648903083526
214.23841307447375, 1228.5917072238738
217.2592232648475, 1172.813302092623
220.60342290110103, 1094.9631552493834
226.0037040584581, 1012.0068570765214
231.2418535790821, 920.340910744561
235.39983245382803, 848.897671691299
240.95816955676287, 756.5667809847787
245.18684089514068, 696.4285212936015
248.96107299063985, 641.0705537981462
253.43779510533594, 584.1823561684135
258.3238237084996, 520.6433937248013
263.75117113124713, 466.8359494027146
268.72198261560186, 416.9015913981234
272.9746114979867, 373.061256221688
278.23741170224207, 329.1435896777374
283.24106323616365, 288.0589118267384
289.0696370010158, 250.57931999374617
294.26796045587145, 221.52758547232526
300.2600641441175, 188.08913491446773
305.9194503847163, 161.64549734451361
311.2230254993175, 139.20051730335655
316.4170191279066, 120.84464915574695
322.7917740222554, 101.77801622096104
329.0855356843564, 85.374047018735
335.3596819119939, 71.75878732584029
340.37837054088743, 62.42219002236688
345.61914809735754, 52.89292225445589
351.08956077123827, 44.72792876377521
