# Frequency in GHz, brightness temperature in Kelvin 
0.10041471244271409, 0.012356975889893302
0.10578798676395292, 0.014935449346194772
0.1158259540968171, 0.021075453618111743
0.1287177037310759, 0.030083877125832954
0.14186247951074504, 0.04132724235521
0.15474931905741957, 0.05333106710095464
0.1684480402524148, 0.06751296579251898
0.18450478711319146, 0.08382978043973871
0.19877415646261848, 0.09967981937227778
0.21682244939290674, 0.11852668989432101
0.2340750910987546, 0.13495942793616528
0.24824572909365372, 0.1476317459810139
0.26910020274008645, 0.16356009055375298
0.2951225970321359, 0.1777375370026401
0.32098100453371076, 0.19165610798116567
0.35378116971597495, 0.20153555197486756
0.3892850996951349, 0.21315690467224513
0.42764021001961605, 0.22588464929957108
0.46938383641907294, 0.23478927786846907
0.5122118558758452, 0.24832817450945543
0.5654931160572434, 0.2677746762511004
0.6390243648840861, 0.2978147774184492
0.7191205949299353, 0.34428216548095625
0.7932649496930896, 0.3911349413055374
0.8757818920334994, 0.4495480992915958
0.9580781351594629, 0.5196901055534079
1.0463659107482872, 0.6066114679183094
1.1276847884239445, 0.6931726779566529
1.2234356145419245, 0.8153909983736541
1.3306320711701503, 0.9591585204839284
1.420984688237438, 1.0981477754179576
1.530144271928671, 1.276873282922657
1.6504321602255074, 1.5078267042568427
1.7831393692595128, 1.7566208025043901
1.9201195582953647, 2.0623526109338894
2.0693426607299585, 2.4448133346858754
2.21721828280278, 2.859245529751954
2.411489187346267, 3.389489053044695
2.6010614697238714, 4.033631079691105
2.8219155479790086, 4.818781871928012
3.056434511006667, 5.779064149491646
3.307691673770649, 6.864041130757049
3.600501905207075, 8.20013439890325
3.89972630042082, 9.720839112753307
4.301804466914964, 12.001006175354824
4.6826175794369345, 14.504281335299654
5.148261538635148, 17.59761958259494
5.641412849879336, 21.18621263289871
6.238610811318736, 26.358794185004093
6.979818074434171, 32.66770289908337
7.7702209801974265, 40.879873272767995
8.664528831678087, 49.59835250079278
9.605687032997231, 59.36738520909355
10.587265746133673, 69.43103932062478
11.678857327556276, 79.80005993390651
12.712716965717904, 87.72886192390678
13.5646512503894, 93.32735608188113
14.234943401518716, 96.25918853596674
14.826971166986127, 99.09137454472327
15.507969094978971, 101.80988154957109
16.20676196745765, 103.19697614335585
16.90889651096851, 103.79721550858774
17.700229891518177, 104.40094613208174
18.497806570558087, 104.40094613208174
19.299197310944756, 104.19931342225581
20.227612388969803, 102.89815936887082
21.077635977588088, 101.4170042875495
21.97251426711752, 99.66773391085484
22.810343481848165, 97.75946429833427
23.699820240973338, 95.51770691837507
24.4810577952722, 93.41760981021974
25.20407004925364, 91.36368642216266
25.840766468442514, 89.18234769035203
26.449519712402346, 87.13727525125991
27.0951366953146, 84.97466738145793
27.7103868189982, 82.54595887718872
28.363184323594187, 79.80005993390643
29.079685184777986, 76.84780443210057
29.814286040596386, 73.64796783311377
30.618325893852617, 70.24107165637807
31.548818322225685, 66.21921488924004
32.48056655125885, 61.827123332022545
33.537303770719184, 57.28167973938904
34.51342543114208, 53.17310562888865
35.47368043773546, 49.12124496475649
36.582136204162914, 44.768203249847275
37.69386912090348, 40.25250605589552
39.0012170614598, 35.636871141343214
39.969829381855604, 32.259775892216716
41.18451446072363, 28.6712840204822
42.06718549815908, 25.754351210452445
43.20166490876065, 22.84529832335001
44.329859450949584, 19.953837753301016
45.67704605785128, 17.16087479697517
46.6754050077664, 15.400084547956522
47.655938075094, 13.60787059723916
48.49548667423493, 12.117570209723008
49.596675219985244, 10.66604609203678
50.722868488782, 9.29808435640987
52.00421188588755, 7.98117605748471
53.49557510688043, 6.6164938372856295
55.25899575047067, 5.34902258111534
57.080545545117374, 4.291040779758368
59.10942215279947, 3.3829428301606064
61.15953224022704, 2.590794811726041
63.54441445692573, 1.9348926573263334
65.31238855283361, 1.525418092764222
67.5776380127254, 1.17502196386009
69.80525780517775, 0.9016207995097113
72.04637022632755, 0.697204477567088
74.79355487061069, 0.5067922279357379
77.96901195325535, 0.360632096288679
80.8747485685291, 0.2662261867187886
84.23830930264883, 0.18726117294786948
88.32743054757502, 0.12310041260174816
91.46694955432662, 0.08913538257149939
94.59998300365062, 0.06682718152376854
98.411538427311, 0.047187749669667454
100.04095633425877, 0.04129670659523692
101.99427063642801, 0.03483498774424182
103.23433791754184, 0.030735631563344207
107.03370470042844, 0.022443633579223906
110.52884724656018, 0.016863889223379693
113.90467522374271, 0.012639514130004444
114.96943582800012, 0.011373667320393225
117.67771504789262, 0.009417093100042724
119.65144322625969, 0.007831809958729313
121.00320271064183, 0.007191057939868294
124.45451317158705, 0.005584282949551037
128.08436724934603, 0.004256363966513026
131.891329771115, 0.003259710445844358
132.42778302795682, 0.0030313060366685407
135.78827430025123, 0.002429456815442233
139.3875322915047, 0.0018937459155853526
142.46103536047372, 0.0015138480641246229
145.82191378252213, 0.00120440887383036
149.3427464968076, 0.0009536668348106285
153.67227228144628, 0.0007165743372831229
157.91611803331944, 0.0005540377598734936
161.95907260805242, 0.00043041401315501105
165.89783537025792, 0.00033078790877711956
171.16421149315863, 0.0002473199036048307
176.00118910946466, 0.00018172354139707881
181.4076549699888, 0.00013269734078603083
187.0174211193335, 0.00009829241812262775
192.0237165670921, 0.0000734902054462743
198.6327850152539, 0.00005117731023673903
203.46343392162677, 0.00003919383165570381
209.67771706740217, 0.000028619942116155815
216.93140946381595, 0.00001983177640187965
225.3377193526338, 0.000013418682103331502
233.8369371646755, 0.000008993324494244275
241.66512786972436, 0.000006027409013489761
251.56583836501224, 0.000003879829852925803
